,data_name,data_size,RF_size,DL_size,RF_pred_size_mean,RF_pred_size_max,RF_pred_size_min,DL_pred_size_mean,DL_pred_size_max,DL_pred_size_min,RF_trace_size_mean,RF_trace_size_max,RF_trace_size_min,DL_trace_size_mean,DL_trace_size_max,DL_trace_size_min
0,calhouse,20640,2872,2853,2,2,2,1.9751937984496124,2,1,21.971947674418605,22,13,20.970494186046512,21,12
1,boston,506,762,731,2,2,2,1.650197628458498,2,1,20.294466403162055,22,9,19.154150197628457,21,8
2,diabetes,442,732,711,2,2,2,1.6266968325791855,2,1,19.43891402714932,22,13,18.436651583710407,21,12
3,adult,32561,1674,1614,2,2,2,1.9796382174994624,2,1,21.41823039832929,22,11,20.72405638647462,21,12
4,amazon,32769,1406,1184,2,2,2,1.954377612987885,2,1,21.57267539442766,22,14,20.62348561140102,21,6
5,bank,45211,1950,1708,2,2,2,1.9973236601711972,2,1,21.839508084315764,22,12,19.818893632080687,20,6
6,breast,699,136,137,2,2,2,1.9399141630901287,2,1,11.510729613733906,19,8,10.592274678111588,21,7
7,heart,920,524,447,2,2,2,1.9108695652173913,2,1,18.64782608695652,22,10,16.83478260869565,21,10
8,kick,72983,1572,1336,2,2,2,1.9972459339846265,2,1,21.904306482331503,22,11,20.84633407779894,21,11
9,mammograph,961,442,445,2,2,2,1.7502601456815816,2,1,19.2840790842872,22,9,17.880332986472425,21,8
10,seismic,2584,514,439,2,2,2,1.9342105263157894,2,1,19.109133126934985,22,8,17.775541795665635,21,9
